product_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
PHANTOM,2218-BLK/BLUE-C9-01,14,293100.000,-174900.000,0.000,118200.000,0.000,118200.000
JULIET,08040-BLUE-C5,14,206400.000,-90600.000,0.000,115800.000,0.000,115800.000
OLIVIA,M322-BLACK&YELLOW,14,230400.000,-81600.000,-9600.000,139200.000,0.000,139200.000
ANISA,2178-GREEN-C6,14,219300.000,-50100.000,-28800.000,140400.000,0.000,140400.000
DELTAPLANE 2.0 POLARIZED,AP136-GM/BLKFD-C2-31,13,170800.000,-73230.190,0.000,97569.810,0.000,97569.810
MAD,08039-BLUE-C5,13,211200.000,-105000.000,0.000,106200.000,0.000,106200.000
EXCELLENCE,AC-000150-GLD/CLRBROWNPLR,13,159800.000,-36100.000,-9600.000,114100.000,0.000,114100.000
OLIVIA,M322-BLACK-ROSE,13,227900.000,-93050.000,-13900.000,120950.000,0.000,120950.000
ANISA,2178-BROWN-C3,13,175100.000,-42300.000,0.000,132800.000,0.000,132800.000
LILY,08036-BROWN-C2,13,216000.000,-73800.000,-19200.000,123000.000,0.000,123000.000
TOKYO,181-GRN/BRNFD,13,157900.000,-39700.000,0.000,118200.000,0.000,118200.000
NEVADA PRO MAX,191-WHT/BLK,13,149400.000,-49300.000,0.000,100100.000,0.000,100100.000
BONYA,180-TORT/BRN,13,192400.000,-45550.000,-17400.000,129450.000,0.000,129450.000
DOMINO,03672-BLKFD-C9-14,12,115200.000,0.000,0.000,115200.000,0.000,115200.000
MAD,08039-BEIGE-C4,12,115200.000,-11100.000,0.000,104100.000,0.000,104100.000
FREEDOM,TR-01 C3,12,154600.000,-59600.000,0.000,95000.000,0.000,95000.000
PAPARAZZI,2258-GOLD/LIL-C8-51,12,176300.000,-52500.000,-9600.000,114200.000,0.000,114200.000
SURFER,08182-GM/BLK,12,131600.000,-37000.000,0.000,94600.000,0.000,94600.000
MAD,08039-BLACK-C3,11,124800.000,-9600.000,-19200.000,96000.000,0.000,96000.000
IDOL,1670-BRN/BRN-C3,11,157400.000,-79210.070,0.000,78189.930,0.000,78189.930
ChameleonX,XM6834-C2/GNMTL,11,195200.000,-51800.000,-9600.000,133800.000,0.000,133800.000
BORA BORA adora,AP1613-BEIGE/GREY C5,11,109900.000,0.000,0.000,109900.000,0.000,109900.000
ARIANA POLARIZED,1303-BRN/BRNFD C6,11,151200.000,-36200.000,0.000,115000.000,0.000,115000.000
SELFIE,1680-SLV/BLK C3,11,170000.000,-63300.000,0.000,106700.000,0.000,106700.000
5004,5004-BLK/BLT-C3,10,110400.000,-9600.000,0.000,100800.000,0.000,100800.000
MAN 026,026-GREEN,10,122000.000,-27400.000,-9600.000,85000.000,0.000,85000.000
Z,GUW009-GRN-C6,10,129100.000,-30100.000,0.000,99000.000,0.000,99000.000
MIRA,7075-GOLD/BRN C10-02,10,143000.000,-30100.000,-9600.000,103300.000,0.000,103300.000
FREEDOM,TR-01 C5,10,140700.000,-47350.000,0.000,93350.000,0.000,93350.000
MAN 8029,8029-GNMTL-C5,10,149400.000,-77600.000,0.000,71800.000,0.000,71800.000
SUS,SUS-WHITE,10,109900.000,-6100.000,-9600.000,94200.000,0.000,94200.000
MALIBU,173-YELLOW/BRN,10,129100.000,-35266.660,0.000,93833.340,0.000,93833.340
